what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1503996675885
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1503996682508
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1503996684932
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1503996687682
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1503996695063
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1503996695398
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1503996698692
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1503996699403
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1503996701759
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1503996708458
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1503996712422
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1503996714483
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1503996723218
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1503996724336
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1503996771310
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1503996772575
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1503996773787
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1503996778204
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1503996826597
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1503996829334
